run_tag=nc_gpu_20260722_e7f1759
git_commit=e7f175990b02aa3cbdb7c92250d57c0272abef9d
start_utc=2026-07-23T05:20:40Z
command=env PYTHONUNBUFFERED=1 OPENBLAS_NUM_THREADS=16 OMP_NUM_THREADS=16 MKL_NUM_THREADS=16 taskset -c 0-31 /home/crl/miniconda3/envs/ad/bin/python -u scripts/export_matched_loio_views.py --base-config configs/generated/mvtec_full/calib_subspace_head_mvtec_bottle_k1_seed0.yaml --dataset mvtec --classes bottle cable capsule carpet grid hazelnut leather metal_nut pill screw tile toothbrush transistor wood zipper --k-shots 4 8 --seeds 0 1 2 3 4 --corruptions clean gaussian_noise blur brightness_contrast jpeg --max-images 120 --tmp-root /home/crl/MoME/other/AD/tmp/ad-neurocomputing/corruptions --out-dir outputs/paper_tables --run-tag mvtec_nc_gpu_20260722_e7f1759 --rho 0.01 --resume 
/home/crl/.cache/torch/hub/facebookresearch_dinov2_main/dinov2/layers/swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
/home/crl/.cache/torch/hub/facebookresearch_dinov2_main/dinov2/layers/attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
/home/crl/.cache/torch/hub/facebookresearch_dinov2_main/dinov2/layers/block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
matched_loio_progress=360/750 dataset=mvtec class=metal_nut k=4 seed=1 corruption=jpeg
matched_loio_progress=361/750 dataset=mvtec class=metal_nut k=4 seed=2 corruption=clean
matched_loio_progress=362/750 dataset=mvtec class=metal_nut k=4 seed=2 corruption=gaussian_noise
matched_loio_progress=363/750 dataset=mvtec class=metal_nut k=4 seed=2 corruption=blur
matched_loio_progress=364/750 dataset=mvtec class=metal_nut k=4 seed=2 corruption=brightness_contrast
matched_loio_progress=365/750 dataset=mvtec class=metal_nut k=4 seed=2 corruption=jpeg
matched_loio_progress=366/750 dataset=mvtec class=metal_nut k=4 seed=3 corruption=clean
matched_loio_progress=367/750 dataset=mvtec class=metal_nut k=4 seed=3 corruption=gaussian_noise
matched_loio_progress=368/750 dataset=mvtec class=metal_nut k=4 seed=3 corruption=blur
matched_loio_progress=369/750 dataset=mvtec class=metal_nut k=4 seed=3 corruption=brightness_contrast
matched_loio_progress=370/750 dataset=mvtec class=metal_nut k=4 seed=3 corruption=jpeg
matched_loio_progress=371/750 dataset=mvtec class=metal_nut k=4 seed=4 corruption=clean
matched_loio_progress=372/750 dataset=mvtec class=metal_nut k=4 seed=4 corruption=gaussian_noise
matched_loio_progress=373/750 dataset=mvtec class=metal_nut k=4 seed=4 corruption=blur
matched_loio_progress=374/750 dataset=mvtec class=metal_nut k=4 seed=4 corruption=brightness_contrast
matched_loio_progress=375/750 dataset=mvtec class=metal_nut k=4 seed=4 corruption=jpeg
matched_loio_progress=376/750 dataset=mvtec class=metal_nut k=8 seed=0 corruption=clean
matched_loio_progress=377/750 dataset=mvtec class=metal_nut k=8 seed=0 corruption=gaussian_noise
matched_loio_progress=378/750 dataset=mvtec class=metal_nut k=8 seed=0 corruption=blur
matched_loio_progress=379/750 dataset=mvtec class=metal_nut k=8 seed=0 corruption=brightness_contrast
matched_loio_progress=380/750 dataset=mvtec class=metal_nut k=8 seed=0 corruption=jpeg
matched_loio_progress=381/750 dataset=mvtec class=metal_nut k=8 seed=1 corruption=clean
matched_loio_progress=382/750 dataset=mvtec class=metal_nut k=8 seed=1 corruption=gaussian_noise
matched_loio_progress=383/750 dataset=mvtec class=metal_nut k=8 seed=1 corruption=blur
matched_loio_progress=384/750 dataset=mvtec class=metal_nut k=8 seed=1 corruption=brightness_contrast
matched_loio_progress=385/750 dataset=mvtec class=metal_nut k=8 seed=1 corruption=jpeg
matched_loio_progress=386/750 dataset=mvtec class=metal_nut k=8 seed=2 corruption=clean
matched_loio_progress=387/750 dataset=mvtec class=metal_nut k=8 seed=2 corruption=gaussian_noise
matched_loio_progress=388/750 dataset=mvtec class=metal_nut k=8 seed=2 corruption=blur
matched_loio_progress=389/750 dataset=mvtec class=metal_nut k=8 seed=2 corruption=brightness_contrast
matched_loio_progress=390/750 dataset=mvtec class=metal_nut k=8 seed=2 corruption=jpeg
matched_loio_progress=391/750 dataset=mvtec class=metal_nut k=8 seed=3 corruption=clean
matched_loio_progress=392/750 dataset=mvtec class=metal_nut k=8 seed=3 corruption=gaussian_noise
matched_loio_progress=393/750 dataset=mvtec class=metal_nut k=8 seed=3 corruption=blur
matched_loio_progress=394/750 dataset=mvtec class=metal_nut k=8 seed=3 corruption=brightness_contrast
matched_loio_progress=395/750 dataset=mvtec class=metal_nut k=8 seed=3 corruption=jpeg
matched_loio_progress=396/750 dataset=mvtec class=metal_nut k=8 seed=4 corruption=clean
matched_loio_progress=397/750 dataset=mvtec class=metal_nut k=8 seed=4 corruption=gaussian_noise
matched_loio_progress=398/750 dataset=mvtec class=metal_nut k=8 seed=4 corruption=blur
matched_loio_progress=399/750 dataset=mvtec class=metal_nut k=8 seed=4 corruption=brightness_contrast
matched_loio_progress=400/750 dataset=mvtec class=metal_nut k=8 seed=4 corruption=jpeg
matched_loio_progress=401/750 dataset=mvtec class=pill k=4 seed=0 corruption=clean
matched_loio_progress=402/750 dataset=mvtec class=pill k=4 seed=0 corruption=gaussian_noise
matched_loio_progress=403/750 dataset=mvtec class=pill k=4 seed=0 corruption=blur
matched_loio_progress=404/750 dataset=mvtec class=pill k=4 seed=0 corruption=brightness_contrast
matched_loio_progress=405/750 dataset=mvtec class=pill k=4 seed=0 corruption=jpeg
matched_loio_progress=406/750 dataset=mvtec class=pill k=4 seed=1 corruption=clean
matched_loio_progress=407/750 dataset=mvtec class=pill k=4 seed=1 corruption=gaussian_noise
matched_loio_progress=408/750 dataset=mvtec class=pill k=4 seed=1 corruption=blur
matched_loio_progress=409/750 dataset=mvtec class=pill k=4 seed=1 corruption=brightness_contrast
matched_loio_progress=410/750 dataset=mvtec class=pill k=4 seed=1 corruption=jpeg
matched_loio_progress=411/750 dataset=mvtec class=pill k=4 seed=2 corruption=clean
matched_loio_progress=412/750 dataset=mvtec class=pill k=4 seed=2 corruption=gaussian_noise
matched_loio_progress=413/750 dataset=mvtec class=pill k=4 seed=2 corruption=blur
matched_loio_progress=414/750 dataset=mvtec class=pill k=4 seed=2 corruption=brightness_contrast
matched_loio_progress=415/750 dataset=mvtec class=pill k=4 seed=2 corruption=jpeg
matched_loio_progress=416/750 dataset=mvtec class=pill k=4 seed=3 corruption=clean
matched_loio_progress=417/750 dataset=mvtec class=pill k=4 seed=3 corruption=gaussian_noise
matched_loio_progress=418/750 dataset=mvtec class=pill k=4 seed=3 corruption=blur
matched_loio_progress=419/750 dataset=mvtec class=pill k=4 seed=3 corruption=brightness_contrast
matched_loio_progress=420/750 dataset=mvtec class=pill k=4 seed=3 corruption=jpeg
matched_loio_progress=421/750 dataset=mvtec class=pill k=4 seed=4 corruption=clean
matched_loio_progress=422/750 dataset=mvtec class=pill k=4 seed=4 corruption=gaussian_noise
matched_loio_progress=423/750 dataset=mvtec class=pill k=4 seed=4 corruption=blur
matched_loio_progress=424/750 dataset=mvtec class=pill k=4 seed=4 corruption=brightness_contrast
matched_loio_progress=425/750 dataset=mvtec class=pill k=4 seed=4 corruption=jpeg
matched_loio_progress=426/750 dataset=mvtec class=pill k=8 seed=0 corruption=clean
matched_loio_progress=427/750 dataset=mvtec class=pill k=8 seed=0 corruption=gaussian_noise
matched_loio_progress=428/750 dataset=mvtec class=pill k=8 seed=0 corruption=blur
matched_loio_progress=429/750 dataset=mvtec class=pill k=8 seed=0 corruption=brightness_contrast
matched_loio_progress=430/750 dataset=mvtec class=pill k=8 seed=0 corruption=jpeg
matched_loio_progress=431/750 dataset=mvtec class=pill k=8 seed=1 corruption=clean
matched_loio_progress=432/750 dataset=mvtec class=pill k=8 seed=1 corruption=gaussian_noise
matched_loio_progress=433/750 dataset=mvtec class=pill k=8 seed=1 corruption=blur
matched_loio_progress=434/750 dataset=mvtec class=pill k=8 seed=1 corruption=brightness_contrast
matched_loio_progress=435/750 dataset=mvtec class=pill k=8 seed=1 corruption=jpeg
matched_loio_progress=436/750 dataset=mvtec class=pill k=8 seed=2 corruption=clean
matched_loio_progress=437/750 dataset=mvtec class=pill k=8 seed=2 corruption=gaussian_noise
matched_loio_progress=438/750 dataset=mvtec class=pill k=8 seed=2 corruption=blur
matched_loio_progress=439/750 dataset=mvtec class=pill k=8 seed=2 corruption=brightness_contrast
matched_loio_progress=440/750 dataset=mvtec class=pill k=8 seed=2 corruption=jpeg
matched_loio_progress=441/750 dataset=mvtec class=pill k=8 seed=3 corruption=clean
matched_loio_progress=442/750 dataset=mvtec class=pill k=8 seed=3 corruption=gaussian_noise
matched_loio_progress=443/750 dataset=mvtec class=pill k=8 seed=3 corruption=blur
matched_loio_progress=444/750 dataset=mvtec class=pill k=8 seed=3 corruption=brightness_contrast
matched_loio_progress=445/750 dataset=mvtec class=pill k=8 seed=3 corruption=jpeg
matched_loio_progress=446/750 dataset=mvtec class=pill k=8 seed=4 corruption=clean
matched_loio_progress=447/750 dataset=mvtec class=pill k=8 seed=4 corruption=gaussian_noise
matched_loio_progress=448/750 dataset=mvtec class=pill k=8 seed=4 corruption=blur
matched_loio_progress=449/750 dataset=mvtec class=pill k=8 seed=4 corruption=brightness_contrast
matched_loio_progress=450/750 dataset=mvtec class=pill k=8 seed=4 corruption=jpeg
matched_loio_progress=451/750 dataset=mvtec class=screw k=4 seed=0 corruption=clean
matched_loio_progress=452/750 dataset=mvtec class=screw k=4 seed=0 corruption=gaussian_noise
matched_loio_progress=453/750 dataset=mvtec class=screw k=4 seed=0 corruption=blur
matched_loio_progress=454/750 dataset=mvtec class=screw k=4 seed=0 corruption=brightness_contrast
matched_loio_progress=455/750 dataset=mvtec class=screw k=4 seed=0 corruption=jpeg
matched_loio_progress=456/750 dataset=mvtec class=screw k=4 seed=1 corruption=clean
matched_loio_progress=457/750 dataset=mvtec class=screw k=4 seed=1 corruption=gaussian_noise
matched_loio_progress=458/750 dataset=mvtec class=screw k=4 seed=1 corruption=blur
matched_loio_progress=459/750 dataset=mvtec class=screw k=4 seed=1 corruption=brightness_contrast
matched_loio_progress=460/750 dataset=mvtec class=screw k=4 seed=1 corruption=jpeg
matched_loio_progress=461/750 dataset=mvtec class=screw k=4 seed=2 corruption=clean
matched_loio_progress=462/750 dataset=mvtec class=screw k=4 seed=2 corruption=gaussian_noise
matched_loio_progress=463/750 dataset=mvtec class=screw k=4 seed=2 corruption=blur
matched_loio_progress=464/750 dataset=mvtec class=screw k=4 seed=2 corruption=brightness_contrast
matched_loio_progress=465/750 dataset=mvtec class=screw k=4 seed=2 corruption=jpeg
matched_loio_progress=466/750 dataset=mvtec class=screw k=4 seed=3 corruption=clean
matched_loio_progress=467/750 dataset=mvtec class=screw k=4 seed=3 corruption=gaussian_noise
matched_loio_progress=468/750 dataset=mvtec class=screw k=4 seed=3 corruption=blur
matched_loio_progress=469/750 dataset=mvtec class=screw k=4 seed=3 corruption=brightness_contrast
matched_loio_progress=470/750 dataset=mvtec class=screw k=4 seed=3 corruption=jpeg
matched_loio_progress=471/750 dataset=mvtec class=screw k=4 seed=4 corruption=clean
matched_loio_progress=472/750 dataset=mvtec class=screw k=4 seed=4 corruption=gaussian_noise
matched_loio_progress=473/750 dataset=mvtec class=screw k=4 seed=4 corruption=blur
matched_loio_progress=474/750 dataset=mvtec class=screw k=4 seed=4 corruption=brightness_contrast
matched_loio_progress=475/750 dataset=mvtec class=screw k=4 seed=4 corruption=jpeg
matched_loio_progress=476/750 dataset=mvtec class=screw k=8 seed=0 corruption=clean
matched_loio_progress=477/750 dataset=mvtec class=screw k=8 seed=0 corruption=gaussian_noise
matched_loio_progress=478/750 dataset=mvtec class=screw k=8 seed=0 corruption=blur
matched_loio_progress=479/750 dataset=mvtec class=screw k=8 seed=0 corruption=brightness_contrast
matched_loio_progress=480/750 dataset=mvtec class=screw k=8 seed=0 corruption=jpeg
matched_loio_progress=481/750 dataset=mvtec class=screw k=8 seed=1 corruption=clean
matched_loio_progress=482/750 dataset=mvtec class=screw k=8 seed=1 corruption=gaussian_noise
matched_loio_progress=483/750 dataset=mvtec class=screw k=8 seed=1 corruption=blur
matched_loio_progress=484/750 dataset=mvtec class=screw k=8 seed=1 corruption=brightness_contrast
matched_loio_progress=485/750 dataset=mvtec class=screw k=8 seed=1 corruption=jpeg
matched_loio_progress=486/750 dataset=mvtec class=screw k=8 seed=2 corruption=clean
matched_loio_progress=487/750 dataset=mvtec class=screw k=8 seed=2 corruption=gaussian_noise
matched_loio_progress=488/750 dataset=mvtec class=screw k=8 seed=2 corruption=blur
matched_loio_progress=489/750 dataset=mvtec class=screw k=8 seed=2 corruption=brightness_contrast
matched_loio_progress=490/750 dataset=mvtec class=screw k=8 seed=2 corruption=jpeg
matched_loio_progress=491/750 dataset=mvtec class=screw k=8 seed=3 corruption=clean
matched_loio_progress=492/750 dataset=mvtec class=screw k=8 seed=3 corruption=gaussian_noise
matched_loio_progress=493/750 dataset=mvtec class=screw k=8 seed=3 corruption=blur
matched_loio_progress=494/750 dataset=mvtec class=screw k=8 seed=3 corruption=brightness_contrast
matched_loio_progress=495/750 dataset=mvtec class=screw k=8 seed=3 corruption=jpeg
matched_loio_progress=496/750 dataset=mvtec class=screw k=8 seed=4 corruption=clean
matched_loio_progress=497/750 dataset=mvtec class=screw k=8 seed=4 corruption=gaussian_noise
matched_loio_progress=498/750 dataset=mvtec class=screw k=8 seed=4 corruption=blur
matched_loio_progress=499/750 dataset=mvtec class=screw k=8 seed=4 corruption=brightness_contrast
matched_loio_progress=500/750 dataset=mvtec class=screw k=8 seed=4 corruption=jpeg
matched_loio_progress=501/750 dataset=mvtec class=tile k=4 seed=0 corruption=clean
matched_loio_progress=502/750 dataset=mvtec class=tile k=4 seed=0 corruption=gaussian_noise
matched_loio_progress=503/750 dataset=mvtec class=tile k=4 seed=0 corruption=blur
matched_loio_progress=504/750 dataset=mvtec class=tile k=4 seed=0 corruption=brightness_contrast
matched_loio_progress=505/750 dataset=mvtec class=tile k=4 seed=0 corruption=jpeg
matched_loio_progress=506/750 dataset=mvtec class=tile k=4 seed=1 corruption=clean
matched_loio_progress=507/750 dataset=mvtec class=tile k=4 seed=1 corruption=gaussian_noise
matched_loio_progress=508/750 dataset=mvtec class=tile k=4 seed=1 corruption=blur
matched_loio_progress=509/750 dataset=mvtec class=tile k=4 seed=1 corruption=brightness_contrast
matched_loio_progress=510/750 dataset=mvtec class=tile k=4 seed=1 corruption=jpeg
matched_loio_progress=511/750 dataset=mvtec class=tile k=4 seed=2 corruption=clean
matched_loio_progress=512/750 dataset=mvtec class=tile k=4 seed=2 corruption=gaussian_noise
matched_loio_progress=513/750 dataset=mvtec class=tile k=4 seed=2 corruption=blur
matched_loio_progress=514/750 dataset=mvtec class=tile k=4 seed=2 corruption=brightness_contrast
matched_loio_progress=515/750 dataset=mvtec class=tile k=4 seed=2 corruption=jpeg
matched_loio_progress=516/750 dataset=mvtec class=tile k=4 seed=3 corruption=clean
matched_loio_progress=517/750 dataset=mvtec class=tile k=4 seed=3 corruption=gaussian_noise
matched_loio_progress=518/750 dataset=mvtec class=tile k=4 seed=3 corruption=blur
matched_loio_progress=519/750 dataset=mvtec class=tile k=4 seed=3 corruption=brightness_contrast
matched_loio_progress=520/750 dataset=mvtec class=tile k=4 seed=3 corruption=jpeg
matched_loio_progress=521/750 dataset=mvtec class=tile k=4 seed=4 corruption=clean
matched_loio_progress=522/750 dataset=mvtec class=tile k=4 seed=4 corruption=gaussian_noise
matched_loio_progress=523/750 dataset=mvtec class=tile k=4 seed=4 corruption=blur
matched_loio_progress=524/750 dataset=mvtec class=tile k=4 seed=4 corruption=brightness_contrast
matched_loio_progress=525/750 dataset=mvtec class=tile k=4 seed=4 corruption=jpeg
matched_loio_progress=526/750 dataset=mvtec class=tile k=8 seed=0 corruption=clean
matched_loio_progress=527/750 dataset=mvtec class=tile k=8 seed=0 corruption=gaussian_noise
matched_loio_progress=528/750 dataset=mvtec class=tile k=8 seed=0 corruption=blur
matched_loio_progress=529/750 dataset=mvtec class=tile k=8 seed=0 corruption=brightness_contrast
matched_loio_progress=530/750 dataset=mvtec class=tile k=8 seed=0 corruption=jpeg
matched_loio_progress=531/750 dataset=mvtec class=tile k=8 seed=1 corruption=clean
matched_loio_progress=532/750 dataset=mvtec class=tile k=8 seed=1 corruption=gaussian_noise
matched_loio_progress=533/750 dataset=mvtec class=tile k=8 seed=1 corruption=blur
matched_loio_progress=534/750 dataset=mvtec class=tile k=8 seed=1 corruption=brightness_contrast
matched_loio_progress=535/750 dataset=mvtec class=tile k=8 seed=1 corruption=jpeg
matched_loio_progress=536/750 dataset=mvtec class=tile k=8 seed=2 corruption=clean
matched_loio_progress=537/750 dataset=mvtec class=tile k=8 seed=2 corruption=gaussian_noise
matched_loio_progress=538/750 dataset=mvtec class=tile k=8 seed=2 corruption=blur
matched_loio_progress=539/750 dataset=mvtec class=tile k=8 seed=2 corruption=brightness_contrast
matched_loio_progress=540/750 dataset=mvtec class=tile k=8 seed=2 corruption=jpeg
matched_loio_progress=541/750 dataset=mvtec class=tile k=8 seed=3 corruption=clean
matched_loio_progress=542/750 dataset=mvtec class=tile k=8 seed=3 corruption=gaussian_noise
matched_loio_progress=543/750 dataset=mvtec class=tile k=8 seed=3 corruption=blur
matched_loio_progress=544/750 dataset=mvtec class=tile k=8 seed=3 corruption=brightness_contrast
matched_loio_progress=545/750 dataset=mvtec class=tile k=8 seed=3 corruption=jpeg
matched_loio_progress=546/750 dataset=mvtec class=tile k=8 seed=4 corruption=clean
matched_loio_progress=547/750 dataset=mvtec class=tile k=8 seed=4 corruption=gaussian_noise
matched_loio_progress=548/750 dataset=mvtec class=tile k=8 seed=4 corruption=blur
matched_loio_progress=549/750 dataset=mvtec class=tile k=8 seed=4 corruption=brightness_contrast
matched_loio_progress=550/750 dataset=mvtec class=tile k=8 seed=4 corruption=jpeg
matched_loio_progress=551/750 dataset=mvtec class=toothbrush k=4 seed=0 corruption=clean
matched_loio_progress=552/750 dataset=mvtec class=toothbrush k=4 seed=0 corruption=gaussian_noise
matched_loio_progress=553/750 dataset=mvtec class=toothbrush k=4 seed=0 corruption=blur
matched_loio_progress=554/750 dataset=mvtec class=toothbrush k=4 seed=0 corruption=brightness_contrast
matched_loio_progress=555/750 dataset=mvtec class=toothbrush k=4 seed=0 corruption=jpeg
matched_loio_progress=556/750 dataset=mvtec class=toothbrush k=4 seed=1 corruption=clean
matched_loio_progress=557/750 dataset=mvtec class=toothbrush k=4 seed=1 corruption=gaussian_noise
matched_loio_progress=558/750 dataset=mvtec class=toothbrush k=4 seed=1 corruption=blur
matched_loio_progress=559/750 dataset=mvtec class=toothbrush k=4 seed=1 corruption=brightness_contrast
matched_loio_progress=560/750 dataset=mvtec class=toothbrush k=4 seed=1 corruption=jpeg
matched_loio_progress=561/750 dataset=mvtec class=toothbrush k=4 seed=2 corruption=clean
matched_loio_progress=562/750 dataset=mvtec class=toothbrush k=4 seed=2 corruption=gaussian_noise
matched_loio_progress=563/750 dataset=mvtec class=toothbrush k=4 seed=2 corruption=blur
matched_loio_progress=564/750 dataset=mvtec class=toothbrush k=4 seed=2 corruption=brightness_contrast
matched_loio_progress=565/750 dataset=mvtec class=toothbrush k=4 seed=2 corruption=jpeg
matched_loio_progress=566/750 dataset=mvtec class=toothbrush k=4 seed=3 corruption=clean
matched_loio_progress=567/750 dataset=mvtec class=toothbrush k=4 seed=3 corruption=gaussian_noise
matched_loio_progress=568/750 dataset=mvtec class=toothbrush k=4 seed=3 corruption=blur
matched_loio_progress=569/750 dataset=mvtec class=toothbrush k=4 seed=3 corruption=brightness_contrast
matched_loio_progress=570/750 dataset=mvtec class=toothbrush k=4 seed=3 corruption=jpeg
matched_loio_progress=571/750 dataset=mvtec class=toothbrush k=4 seed=4 corruption=clean
matched_loio_progress=572/750 dataset=mvtec class=toothbrush k=4 seed=4 corruption=gaussian_noise
matched_loio_progress=573/750 dataset=mvtec class=toothbrush k=4 seed=4 corruption=blur
matched_loio_progress=574/750 dataset=mvtec class=toothbrush k=4 seed=4 corruption=brightness_contrast
matched_loio_progress=575/750 dataset=mvtec class=toothbrush k=4 seed=4 corruption=jpeg
matched_loio_progress=576/750 dataset=mvtec class=toothbrush k=8 seed=0 corruption=clean
matched_loio_progress=577/750 dataset=mvtec class=toothbrush k=8 seed=0 corruption=gaussian_noise
matched_loio_progress=578/750 dataset=mvtec class=toothbrush k=8 seed=0 corruption=blur
matched_loio_progress=579/750 dataset=mvtec class=toothbrush k=8 seed=0 corruption=brightness_contrast
matched_loio_progress=580/750 dataset=mvtec class=toothbrush k=8 seed=0 corruption=jpeg
matched_loio_progress=581/750 dataset=mvtec class=toothbrush k=8 seed=1 corruption=clean
matched_loio_progress=582/750 dataset=mvtec class=toothbrush k=8 seed=1 corruption=gaussian_noise
matched_loio_progress=583/750 dataset=mvtec class=toothbrush k=8 seed=1 corruption=blur
matched_loio_progress=584/750 dataset=mvtec class=toothbrush k=8 seed=1 corruption=brightness_contrast
matched_loio_progress=585/750 dataset=mvtec class=toothbrush k=8 seed=1 corruption=jpeg
matched_loio_progress=586/750 dataset=mvtec class=toothbrush k=8 seed=2 corruption=clean
matched_loio_progress=587/750 dataset=mvtec class=toothbrush k=8 seed=2 corruption=gaussian_noise
matched_loio_progress=588/750 dataset=mvtec class=toothbrush k=8 seed=2 corruption=blur
matched_loio_progress=589/750 dataset=mvtec class=toothbrush k=8 seed=2 corruption=brightness_contrast
matched_loio_progress=590/750 dataset=mvtec class=toothbrush k=8 seed=2 corruption=jpeg
matched_loio_progress=591/750 dataset=mvtec class=toothbrush k=8 seed=3 corruption=clean
matched_loio_progress=592/750 dataset=mvtec class=toothbrush k=8 seed=3 corruption=gaussian_noise
matched_loio_progress=593/750 dataset=mvtec class=toothbrush k=8 seed=3 corruption=blur
matched_loio_progress=594/750 dataset=mvtec class=toothbrush k=8 seed=3 corruption=brightness_contrast
matched_loio_progress=595/750 dataset=mvtec class=toothbrush k=8 seed=3 corruption=jpeg
